session_id,outcome,failure_stage,failure_subtype,completion_rate
df6b3254-185a-4e9c-b5e8-26626f7544d9,failure,tool_execution,false_tool_call,0.25
fb1125cb-7ef3-4e71-85cc-8a0b73526ff5,failure,tool_execution,false_tool_call,0.25
f628c99a-8c36-4622-ac9a-21eb7c8e8f5e,failure,input_validation,url_sanity_fail,0.0
03febbec-32ed-4498-b879-6c7663a777e0,success,,,1.0
3a35e1ab-de5f-47fc-ad3f-961b0c53e5e9,failure,intermediate_processing,encoding_error,0.5
75968dbc-523e-4a13-b53c-28eaa7e402ee,success,,,1.0
9bf2e495-71cc-4f4d-ab46-e5bc464c0ca4,failure,tool_execution,rate_limit_exhausted,0.25
3513b361-c9ac-4247-8c16-75381e9bb8d1,failure,tool_execution,tool_schema_error,0.25
2faa0a63-ddfc-461c-ad0d-c0bce1ca16f5,failure,final_output,schema_nonconformance,0.75
bfd19ae8-a6c6-465c-b1d0-89fbf59a2507,failure,tool_execution,pagination_failure,0.25
0b8d750d-2aec-478c-ae20-524ca8ec44e9,failure,input_validation,malformed_schema,0.0
96bf3bbc-f844-4379-aee2-251f205549ca,success,,,1.0
6619d9ca-9be3-4b6a-ba0d-1422d88501e4,success,,,1.0
61914272-d1c9-4e91-804c-55bd875fedb7,success,,,1.0
206ad881-3fff-44c3-ae6b-5dde921c810e,failure,final_output,empty_output,0.75
73042937-afcc-475f-b1c4-b1e791514231,failure,tool_execution,false_tool_call,0.25
d1abbb61-7c5d-4745-9a6d-a71a7e71bfbd,failure,intermediate_processing,sub_agent_timeout,0.5
e2eee7e9-4a8b-4735-beda-1530ca20ffae,success,,,1.0
7c4ea2a9-0e9a-447e-bba0-f3e36f0b314f,failure,final_output,hallucinated_fields,0.75
ec13e4ba-e66d-4506-bb3e-66bd6e2279d4,success,,,1.0
8d3c333f-634c-4279-8be2-ba83dbd214e7,success,,,1.0
86aeaff6-0cb8-449e-af8f-eb710a3ba223,success,,,1.0
257bee3a-5cfc-4f8d-bb9f-27430cb46b1f,failure,tool_execution,tool_schema_error,0.25
a092cf4e-6d08-456f-a789-ecae1a697014,failure,tool_execution,rate_limit_exhausted,0.25
01daf33a-c019-40ec-a940-1daa709be92f,failure,intermediate_processing,sub_agent_timeout,0.5
b0a97c98-f78e-40a8-a202-f32186f33d5d,failure,input_validation,malformed_schema,0.0
d9b1217d-dccc-4800-a3e5-121a19d01b9c,failure,input_validation,auth_missing,0.0
d6a08737-e616-4baf-be4d-dcf3ea687f80,success,,,1.0
fa388500-7a52-4b61-a687-6e1e1127fde7,failure,tool_execution,pagination_failure,0.25
828194d4-e701-43fa-bab3-c08601595b1f,success,,,1.0
2d3e63b7-d31a-4d6e-a91d-acc7cda09c17,success,,,1.0
cce5542d-d6ac-4e42-9a53-bd3aac66a053,failure,tool_execution,rate_limit_exhausted,0.25
f1e3fd74-f916-4e73-9179-d0abda4990dc,failure,intermediate_processing,sub_agent_timeout,0.5
ea1b86e1-0ece-4399-8de9-396cb504f44a,success,,,1.0
873587d0-34c0-4676-a6ba-9208df812142,failure,tool_execution,pagination_failure,0.25
4154e2a0-89cb-4321-b7dc-0a38b0cab165,success,,,1.0
4c196c56-1010-4c3a-9f19-59bef4ed9cbf,failure,intermediate_processing,partial_content,0.5
4aa89d0d-8240-4edc-a4eb-12eaab56f8f3,failure,final_output,schema_nonconformance,0.75
4f242672-cfc0-4ba9-93f3-5a6283863ea5,failure,input_validation,auth_missing,0.0
67a9c541-1050-4f70-9582-59ef86314228,success,,,1.0
fac8f5e7-d50f-448f-b4d9-70f67e52d2db,failure,tool_execution,false_tool_call,0.25
c6d74125-d0b6-4ae2-a5b8-b2bb69d582fb,success,,,1.0
451b8246-e62d-4640-95fa-c2896c1d55f8,success,,,1.0
67364cea-34f9-4c72-ac41-029d955d3055,failure,intermediate_processing,sub_agent_timeout,0.5
0e72f7a5-53a4-4e87-8d37-fc21e00c0c14,success,,,1.0
334e2b8d-a148-460c-abd1-65933fceecce,failure,intermediate_processing,partial_content,0.5
0e648966-3a29-452d-ad8b-6c98971a43be,failure,intermediate_processing,partial_content,0.5
b5980519-78d6-48e3-942c-de97f1e88dbf,failure,intermediate_processing,sub_agent_timeout,0.5
8619a490-014b-4c9f-8b0c-577bc67b122c,failure,intermediate_processing,sub_agent_schema_fail,0.5
093370b8-4aa2-409b-9480-d053cdc71aeb,failure,input_validation,prompt_ambiguity,0.0
266e6395-47d8-4861-838d-a928a24a9525,failure,input_validation,url_sanity_fail,0.0
1eca74c8-1f80-49c6-a127-da15405c94d8,failure,intermediate_processing,encoding_error,0.5
f1283fc5-5127-4eda-ab94-6b2aa60ef970,success,,,1.0
90fee1e0-eb7f-4706-84a3-143022a2acf5,success,,,1.0
6a3647c8-2411-4087-9825-defa7e9ba5eb,failure,input_validation,malformed_schema,0.0
434d6d7d-aac0-4f83-b838-50bcfe4f6d82,failure,tool_execution,false_tool_call,0.25
31e4d32c-0b68-4bc5-975e-6e5eebd153cd,failure,tool_execution,pagination_failure,0.25
6344be78-889d-42e1-85c3-59c0ebe1de3b,failure,tool_execution,ip_ban,0.25
aec46f47-8e1f-4dca-b9d1-ddcd11b909bb,failure,intermediate_processing,sub_agent_schema_fail,0.5
797dfdbc-4cbc-45f5-a49f-2cf55d2fede7,success,,,1.0
613daec5-271c-4093-926a-2be3a617f9b7,failure,intermediate_processing,encoding_error,0.5
1e149c45-5d1e-469f-a5d7-8a33e9d9157e,failure,input_validation,auth_missing,0.0
c0fed229-85c2-4384-afb9-2f885fdcf4f9,failure,input_validation,malformed_schema,0.0
eb539761-533c-4805-af03-81fe83e43793,failure,intermediate_processing,partial_content,0.5
b447390b-995a-4256-9690-c4b547a35506,failure,tool_execution,rate_limit_exhausted,0.25
4c9745b6-26f6-480d-9c34-5af20c0869a9,failure,final_output,hallucinated_fields,0.75
c0f66f30-e82a-44f0-9668-cfc96db40732,failure,input_validation,auth_missing,0.0
825fbfb3-a4b7-4d89-b951-d62db815e968,failure,tool_execution,pagination_failure,0.25
971d3837-ef87-481a-bd73-3cc592d8e494,failure,tool_execution,false_tool_call,0.25
6b33ef31-7dcf-4c43-bc1f-76371f00b633,failure,intermediate_processing,sub_agent_schema_fail,0.5
01a14d74-7280-472e-b2f7-971ebd3adec8,failure,final_output,truncated_output,0.75
51f4c970-0c13-43bc-bbf7-a44f67a55103,success,,,1.0
5852252d-d165-439a-aee1-65d03bb7925c,failure,intermediate_processing,partial_content,0.5
a6e9a1ad-3906-4a99-9052-699e4a2e4f95,failure,tool_execution,rate_limit_exhausted,0.25
dc60d7d5-77e6-4fb1-bc0f-0746fdf3c453,failure,tool_execution,pagination_failure,0.25
65ecb84b-7fe4-4bf1-b05f-959600cdc0ce,failure,final_output,schema_nonconformance,0.75
c9fc5aaa-ec13-447a-84d2-cf4d800b910e,failure,tool_execution,ip_ban,0.25
90a06849-a8ae-4e97-9744-4cea32f7dd7d,failure,intermediate_processing,sub_agent_timeout,0.5
0aeecf73-58c4-4ff0-a9f7-24256f6ea620,failure,intermediate_processing,sub_agent_schema_fail,0.5
5d97dc6d-7132-4130-b22f-723930dec44d,failure,final_output,empty_output,0.75
da558d64-8cb3-4750-8e62-07055f6ac76b,failure,intermediate_processing,sub_agent_schema_fail,0.5
a74ca2b3-9535-4635-ba27-e86452f9a8a6,success,,,1.0
a95a38bc-359e-42bf-a81c-fa2226cbb2dc,success,,,1.0
6bb1cf79-7360-408e-94c7-5849c6d1446e,failure,final_output,hallucinated_fields,0.75
057dcb50-c604-4c58-9fce-10fc64610dd9,failure,tool_execution,tool_schema_error,0.25
55c18618-57a0-49b9-9087-2d782c28dccd,failure,intermediate_processing,encoding_error,0.5
698d8e25-f419-4672-ac31-24436efd2eb4,failure,intermediate_processing,partial_content,0.5
9dab4573-c665-4ca8-ad4a-e4fe3f35103d,success,,,1.0
f938105b-f204-4c94-8498-3bb229b776dd,success,,,1.0
2a3d7fe3-8452-417d-bb05-d0e956dc5a52,success,,,1.0
d014f16f-1066-4669-95af-8fb780fd9095,success,,,1.0
d2dc68f7-bd79-46d8-a5ef-5f9ba2c9315c,success,,,1.0
46f81474-f196-409d-adb7-31882e1689ca,success,,,1.0
82fcf2ba-3d94-4e16-9658-2c8c55a02331,success,,,1.0
f5fe08cb-f1c9-4036-bf79-7d8702355a4c,failure,intermediate_processing,partial_content,0.5
82785c58-6827-41e9-8561-07828a321f33,success,,,1.0
18f8278a-ea3b-4254-9427-2979402e64d4,success,,,1.0
043b7463-b129-4f4d-a823-bebedb437996,failure,tool_execution,tool_schema_error,0.25
22f11142-1821-4097-9fcd-b97833267bb1,success,,,1.0
d711e87e-1808-437b-9faf-e4ba72e2a379,failure,intermediate_processing,partial_content,0.5
41f9af8e-5b1e-4578-a7c9-5b1fb7275c49,failure,tool_execution,rate_limit_exhausted,0.25
4e8e03c8-fdb8-4e02-a689-81b1bf7efc30,failure,intermediate_processing,sub_agent_schema_fail,0.5
d3c25522-3814-4afd-ba5e-d16b28fb5ab2,failure,intermediate_processing,partial_content,0.5
9dd009ee-7148-43ab-8b11-348b74224780,failure,intermediate_processing,sub_agent_timeout,0.5
6fac46c8-edad-4db2-931d-f0613abccad0,success,,,1.0
1a3fabaf-313f-4c52-9af8-fff9b8ab9079,failure,tool_execution,pagination_failure,0.25
9be8b103-56e3-46c0-a9a4-89c1b998c6cf,failure,input_validation,url_sanity_fail,0.0
e8b53d62-69a7-4a71-894f-a9a72084baaa,success,,,1.0
9a4f2ca5-0ba8-4e63-868b-e4e94313aa17,success,,,1.0
2edbdb07-2c3f-4195-a149-f6b94401ba5d,failure,intermediate_processing,sub_agent_timeout,0.5
1e873c60-065c-495d-bb44-e9ba3888019a,success,,,1.0
cbf7f7ea-92e9-437f-99bb-19fdc1d96d53,failure,intermediate_processing,encoding_error,0.5
c18309a0-1738-4189-ab16-4f5610d377e8,failure,intermediate_processing,encoding_error,0.5
4a4fea6e-9cb5-4271-9ae8-58138d3a6617,failure,final_output,truncated_output,0.75
92ac58ba-2f02-4861-9a47-55cd45f03b9f,success,,,1.0
253108c7-6991-4aea-8901-a03d78cb6772,success,,,1.0
3d7a901b-f335-4820-b4e8-a1e35f1dc13f,success,,,1.0
a0a092e3-77f0-44c2-999b-6421b37b6d68,success,,,1.0
d33c11e7-6c54-478f-945f-2edc25093933,failure,tool_execution,rate_limit_exhausted,0.25
97cfe735-2b2e-4d26-ba3e-3bb781f803c1,failure,intermediate_processing,encoding_error,0.5
f1a90edd-d02c-4fed-a4cb-b2442b07231f,success,,,1.0
eaf522ca-4596-46f3-a74b-ef36dbb7cb2f,success,,,1.0
3e205b21-e894-40d9-ab9d-9a77f4d2e080,failure,intermediate_processing,sub_agent_schema_fail,0.5
cbd84b5c-b33f-4e5a-b54b-21c6d4cb3988,success,,,1.0
c80dafc1-b384-437d-802c-f3db0d01bbce,success,,,1.0
6e784c67-4a22-4695-bcbc-f23e24c4dc10,failure,intermediate_processing,partial_content,0.5
7da030d2-e150-482b-a6e1-eeec350b7a00,success,,,1.0
4febf112-0ede-469e-a4a1-7723b9ed14a5,failure,tool_execution,ip_ban,0.25
47889406-d778-4455-a685-4c20c4425016,failure,tool_execution,ip_ban,0.25
af95a5ba-d19c-41e4-bc30-b56228fb6b2c,failure,intermediate_processing,sub_agent_timeout,0.5
4d2084c1-1c04-4af5-83a0-3b9ce0920f08,failure,intermediate_processing,sub_agent_schema_fail,0.5
b673edb0-4155-40cb-a179-02dcf50dda0b,failure,input_validation,url_sanity_fail,0.0
6b5d4e0e-0fe7-4eab-a3c4-01d4084c2ba2,failure,tool_execution,pagination_failure,0.25
bcd70a1d-12a9-4b3e-bee8-c672b19c2c4e,success,,,1.0
05330afa-bd36-4911-9015-4bcd6718d0e2,success,,,1.0
917bd8bf-bb8e-465a-9ce1-41a31528054a,success,,,1.0
b64dd938-75df-4843-90e1-2f898003aa01,success,,,1.0
92ccfa28-e715-468e-b3cb-02881f34c4c2,failure,input_validation,auth_missing,0.0
07348de8-3a6f-4e06-b6cf-26b506c88533,failure,tool_execution,ip_ban,0.25
bdd0bffb-7782-4b4d-a98d-1e8c5f32e861,success,,,1.0
841fb35d-edce-426e-9dec-4540775b6111,failure,final_output,truncated_output,0.75
ffcfe8eb-b919-4567-a57c-dc9b2f63c947,failure,intermediate_processing,encoding_error,0.5
a1239eed-c64a-4e09-9d85-1211adb94239,failure,intermediate_processing,sub_agent_schema_fail,0.5
4055b710-87d2-4ce5-b976-2f91a6c3a6c6,success,,,1.0
51e765c8-94ca-4051-9def-950ef91a7253,success,,,1.0
deb81c36-38d4-4074-812d-f4d62cabb2a8,failure,tool_execution,ip_ban,0.25
145084a9-70bd-477a-bf73-bf1e3d6da970,failure,final_output,hallucinated_fields,0.75
e0c97a2f-eb8f-49a9-94bc-6de93f943488,success,,,1.0
a982377c-d0c2-4233-9347-31e3f4f8c869,failure,tool_execution,ip_ban,0.25
aace89c0-fa16-4064-b79f-36c35c29fa9b,failure,final_output,schema_nonconformance,0.75
90f986fc-0f4e-482d-94d0-313a62fecec2,failure,tool_execution,pagination_failure,0.25
7a181868-1c03-4592-af05-1498526a1268,success,,,1.0
ae2d1911-0471-4ac5-8aa7-7eda96f9c3a0,success,,,1.0
bb85beee-63ef-489c-9534-78e5cad10689,failure,intermediate_processing,encoding_error,0.5
07042669-b609-4282-8cc9-8cccd096dc5c,success,,,1.0
ae1afaf4-fa76-4b5f-a9c6-1a54b5e0511c,failure,final_output,empty_output,0.75
d79bbd76-ce18-4c59-842c-8142554adf10,failure,intermediate_processing,sub_agent_timeout,0.5
18c2e7e5-9b3a-4f80-ae2a-7d75ab490be4,failure,input_validation,malformed_schema,0.0
30b1b3b0-8ed0-48e6-904b-f99b34b922db,success,,,1.0
f371a13d-8be2-4d98-a60a-840d793624c2,failure,tool_execution,ip_ban,0.25
872c318b-c3dd-468a-9f6c-ff28c604ace4,failure,intermediate_processing,encoding_error,0.5
bdb45987-ad21-46db-b315-51b4529c5563,failure,tool_execution,false_tool_call,0.25
c0f3215e-d617-4b38-b5db-08df737592c5,success,,,1.0
ece8e3eb-286c-4d7c-8444-a85a450d7fcd,failure,input_validation,auth_missing,0.0
1fafe7db-caff-457f-84b4-bc805ce8d174,failure,intermediate_processing,partial_content,0.5
656d43ed-f711-4a62-ac1a-24b5429f2c22,failure,intermediate_processing,sub_agent_timeout,0.5
f43b05ef-a274-4bf9-8c9f-d99ed386a517,failure,tool_execution,tool_schema_error,0.25
5680c87c-bdd6-487f-bb3f-a9884a37f269,success,,,1.0
42f4af73-b881-4d71-985d-c0fa7f8573f0,success,,,1.0
d914b35b-eeca-49f3-b480-3f6a09d61adb,failure,tool_execution,rate_limit_exhausted,0.25
982d5de9-f051-4aac-abab-a8851910972f,failure,tool_execution,rate_limit_exhausted,0.25
e28ae55a-8ddb-443f-8244-49ba46882afe,success,,,1.0
46592e31-b3e1-47ce-8d0f-32a288dab18b,failure,tool_execution,pagination_failure,0.25
b1f3485b-4455-4102-9c63-b3bef683784e,failure,tool_execution,false_tool_call,0.25
4caa7771-5721-4347-8635-77c899c18975,failure,input_validation,malformed_schema,0.0
74649b8d-dea7-4883-823d-6c845bf94e64,success,,,1.0
6666eedd-a825-4235-a129-2aa2cf619fa5,failure,tool_execution,ip_ban,0.25
cc541f67-1918-4795-a9ee-35716ba2c756,failure,tool_execution,tool_schema_error,0.25
5d7dcec0-f6e1-4ca5-9e4e-51ebf3c408ad,success,,,1.0
0e798e05-ad0d-4413-b6b6-77c65f02efed,failure,input_validation,url_sanity_fail,0.0
6b9158b1-7cd0-4ce0-8e06-91895e75f668,failure,input_validation,url_sanity_fail,0.0
0395cf56-5ff5-4bbc-a10f-2aa9e577bb6f,success,,,1.0
320c26a5-3f02-4bde-a568-a3d61b93a630,success,,,1.0
f24dc2c0-dfa5-4bb4-ba9b-35778a9c4932,failure,intermediate_processing,partial_content,0.5
2a1aaaec-0b79-41ec-984a-610ffbf80c1d,failure,input_validation,malformed_schema,0.0
d8726d4f-3b53-45d1-84b0-fc6bdb9813cd,failure,final_output,empty_output,0.75
435d9cfd-2b63-4637-a4ca-802cf8792b0f,success,,,1.0
bfdda463-95bf-4991-b241-9f79c62110dc,failure,final_output,schema_nonconformance,0.75
194cd451-bd56-4317-9933-78fe6d3bc728,success,,,1.0
cf4d957c-1a2a-4ed3-b5a9-add6d7fd7dc7,success,,,1.0
d2f38f07-c72f-40fc-9975-5c5edd83c90d,success,,,1.0
4871bfe4-95aa-4b0b-a5eb-6526ae2e1398,failure,tool_execution,pagination_failure,0.25
f1807072-7390-4abf-b204-58ed5bbb9dba,success,,,1.0
6cf2f097-ffa3-42b6-af1e-3826db51a31c,failure,input_validation,auth_missing,0.0
461931d0-66c3-40a9-b613-e6779d372264,failure,input_validation,malformed_schema,0.0
300f729b-6e66-457d-a09c-3b41296c7860,failure,tool_execution,false_tool_call,0.25
1f5295f2-1a7e-4feb-a8a1-b3c32aec9059,failure,final_output,hallucinated_fields,0.75
da49cc20-9028-4a97-867a-76ee730e9ce3,failure,intermediate_processing,encoding_error,0.5
dd503352-e197-4496-8b5e-7de6b7709a12,success,,,1.0
6569e1ab-c9c7-4888-aeb5-67fe6f28cbad,success,,,1.0
bd4821ec-7f23-4fa2-912f-310d789d692c,failure,tool_execution,pagination_failure,0.25
f260d3f0-9b39-4dff-89e1-0807c74aad81,success,,,1.0
fff6f21a-016e-4f4c-9d5f-2ad52eb2cff5,failure,tool_execution,rate_limit_exhausted,0.25
ed82e9a1-fdb3-4052-b8f4-f7bd35b1618a,success,,,1.0
a8463963-31e0-484a-9fe5-70df06e83288,failure,input_validation,auth_missing,0.0
b32bbcaa-3e48-4da8-b6ee-29fad724c344,success,,,1.0
8530cda0-4089-43b0-ac6a-8d963554dd30,failure,tool_execution,pagination_failure,0.25
cdbf852f-11c3-4369-96bc-9f0befbc2523,success,,,1.0
2f132880-bbc5-4c17-9e96-4b46038f1b1a,failure,intermediate_processing,partial_content,0.5
a1c7ad85-3fbc-4e9b-86c9-859df8e2b90c,failure,tool_execution,tool_schema_error,0.25
e3cf3e42-703d-47b9-99ba-ae4c779b4ee2,failure,tool_execution,tool_schema_error,0.25
3bf3ba16-f01b-4f96-bbde-7bab35666ebb,failure,tool_execution,rate_limit_exhausted,0.25
759fc853-88a0-4342-8d8f-ccf6113b958d,failure,tool_execution,tool_schema_error,0.25
75ab3e2c-3b6f-4c52-9097-427274434d28,success,,,1.0
4d23d680-13f2-4042-a4f4-3ea909ed8d1a,failure,intermediate_processing,encoding_error,0.5
a80f127a-dc85-46e3-b8cf-9f65855029be,success,,,1.0
94b197f9-9da4-4bf3-84e9-55ccb6b0ad58,failure,intermediate_processing,sub_agent_schema_fail,0.5
67a47b72-b814-40c6-a8b7-d0e63b3059de,failure,final_output,truncated_output,0.75
85327e9a-0c88-4802-82f0-14b51ff53353,failure,tool_execution,rate_limit_exhausted,0.25
d274341d-0948-48bc-bd78-0a50587feb83,failure,intermediate_processing,sub_agent_schema_fail,0.5
304808b8-93c9-4d42-8085-1c4bca0ba736,failure,intermediate_processing,encoding_error,0.5
fa1f3bdb-8977-4a08-8261-681b7e359039,success,,,1.0
1791eb74-381d-497a-bfe7-4ba3e53aa017,failure,input_validation,malformed_schema,0.0
b5d761f9-c081-4a9c-b57c-8863d44afa8d,success,,,1.0
